tag,id,name,classes,text,xpath
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[29]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[30]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[30]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[30]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[31]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[31]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[31]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[32]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[32]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[32]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[33]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[33]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[33]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[34]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[34]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[34]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[35]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[35]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[35]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div[2]/div/div/div/div/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div[2]/div/div/div/div[3]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div[2]/div/div/div[2]/div/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div[2]/div/div/div[2]/div[2]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div[2]/div/div/div[2]/div[3]/div/div/div/a"
"a","","","left recommended-item-control","","/html/body/section[2]/div/div/div[2]/div[2]/div/a"
"a","","","right recommended-item-control","","/html/body/section[2]/div/div/div[2]/div[2]/div/a[2]"
"a","scrollUp","","","","//*[@id=scrollUp]"
"span","","","","Automation","/html/body/section/div/div/div/div/div/div/div/h1/span"
"span","","","","Automation","/html/body/section/div/div/div/div/div/div[2]/div/h1/span"
"span","","","","Automation","/html/body/section/div/div/div/div/div/div[3]/div/h1/span"
